STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,,,year,total snowfall,max snow on ground,average temperature
USW00014737,12/25/49,0,0,0,,39,16,,,1949,0,0,41
USW00014737,12/26/49,0.98,0,0,,57,34,,,1950,2.3,2,28
USW00014737,12/27/49,0.32,0,0,,59,48,,,1951,1.9,4,31
USW00014737,12/28/49,0,0,0,,46,30,,,1952,2.4,2,30
USW00014737,12/29/49,0,0,0,,44,25,,,1953,0.4,0,32
USW00014737,12/30/49,0,0,0,,33,20,,,1954,0,0,36
USW00014737,12/31/49,0,0,0,,42,15,,,1955,0,0,27
USW00014737,1/1/50,0,0,0,,41,27,,,1956,1.4,1,28
USW00014737,1/2/50,0,0,0,,42,34,,,1957,0,0,30
USW00014737,1/3/50,0.09,0,0,,57,37,,,1958,0.8,0,28
USW00014737,1/4/50,0,0,0,,66,51,,,1959,1.2,3,33
USW00014737,1/5/50,0.03,0,0,,59,45,,,1960,3,4,25
USW00014737,1/6/50,0.19,0,0,,50,40,,,1961,3.1,5,23
,,,,,,,,,,1962,6.5,7,22
,,,0,0,41,,,,,1963,1.4,6,25
,,,,,,,,,,1964,0.9,1,36
,,,,,,,,,,1965,0,0,36
USW00014737,12/25/50,0,0,0,,29,19,,,1966,1.2,17,26
USW00014737,12/26/50,0.23,2.3,2,,20,8,,,1967,10.4,7,18
USW00014737,12/27/50,0,0,2,,18,-1,,,1968,2.8,2,23
USW00014737,12/28/50,0,0,2,,24,-8,,,1969,15.8,11,23
USW00014737,12/29/50,0.39,0,1,,37,21,,,1970,8.6,8,24
USW00014737,12/30/50,0,0,1,,39,22,,,1971,1.8,1,35
USW00014737,12/31/50,0,0,1,,37,28,,,1972,0,0,35
USW00014737,1/1/51,0,0,0,,37,18,,,1973,1.2,1,33
USW00014737,1/2/51,0,0,0,,39,22,,,1974,4.7,2,33
USW00014737,1/3/51,0.02,0,0,,43,33,,,1975,1.9,1,29
USW00014737,1/4/51,0.12,0,0,,58,34,,,1976,5.6,5,21
USW00014737,1/5/51,0,0,0,,40,27,,,1977,1.6,2,26
USW00014737,1/6/51,0,0,0,,45,27,,,1978,2.6,3,29
,,,,,,,,,,1979,0.4,0,35
,,,2.3,2,28,,,,,1980,5.9,3,20
,,,,,,,,,,1981,0.2,1,31
,,,,,,,,,,1982,0,0,37
USW00014737,12/25/51,0.4,0.2,4,,32,20,,,1983,0,0,23
USW00014737,12/26/51,0,0,3,,37,23,,,1984,4.8,2,37
USW00014737,12/27/51,0,0,3,,28,14,,,1985,0.9,0,28
USW00014737,12/28/51,0,0,3,,28,12,,,1986,6.1,5,31
USW00014737,12/29/51,0,0,2,,35,26,,,1987,4.1,2,25
USW00014737,12/30/51,0.09,0,2,,40,33,,,1988,3.9,1,30
USW00014737,12/31/51,0,0,0,,41,31,,,1989,2.4,3,28
USW00014737,1/1/52,0,0,0,,42,36,,,1990,8.8,9,29
USW00014737,1/2/52,0.35,0,0,,41,34,,,1991,0,0,36
USW00014737,1/3/52,0.3,0,0,,38,28,,,1992,0,0,35
USW00014737,1/4/52,0.04,0.8,0,,34,25,,,1993,5.3,3,23
USW00014737,1/5/52,0.21,0.9,0,,39,28,,,1994,0,0,31
USW00014737,1/6/52,0,0,0,,35,24,,,1995,3.2,6,22
,,,,,,,,,,1996,0,0,36
,,,1.9,4,31,,,,,1997,2.5,0,36
,,,,,,,,,,1998,0,0,26
,,,,,,,,,,1999,0,0,33
USW00014737,12/25/52,0,0,0,,41,37,,,2000,7.5,9,21
USW00014737,12/26/52,0,0,0,,38,26,,,2001,4,0,26
USW00014737,12/27/52,0,0,0,,35,15,,,2002,9.1,0,32
USW00014737,12/28/52,0,0,0,,27,12,,,2003,0,0,37
USW00014737,12/29/52,0,0,0,,38,16,,,2004,1.4,0,34
USW00014737,12/30/52,0,0,0,,45,21,,,2005,2,0,37
USW00014737,12/31/52,0.19,1.7,0,,36,27,,,2006,0,0,41
USW00014737,1/1/53,0,0,2,,40,23,,,2007,0.7,0,32
USW00014737,1/2/53,0.11,0,0,,38,22,,,2008,0,1,33
USW00014737,1/3/53,0.1,0,0,,41,33,,,2009,3,3,28
USW00014737,1/4/53,0,0,0,,39,25,,,2010,2.8,3,29
USW00014737,1/5/53,0,0,0,,32,24,,,2011,0,0,34
USW00014737,1/6/53,0.06,0.7,0,,32,24,,,2012,4.6,3,30
