"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-25","0.00","0.0",,"20","29","10"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-26","0.00","0.0",,"28","37","19"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-27","0.00","0.0",,"30","33","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-28","0.00","0.0",,"21","28","13"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-29","0.00","0.0",,"28","36","20"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-30","0.00","0.0",,"36","46","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","1999-12-31","0.01","0.0",,"32","41","22"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-01","0.00","0.0",,"30","37","23"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-02","0.00","0.0",,"43","58","27"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-03","0.02","0.0",,"50","58","42"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-04","0.26","0.0",,"54","65","43"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-05","0.00","0.0",,"33","43","22"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-06","0.00","0.0",,"30","42","17"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-07","0.00","0.0","0.0","37","48","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-08","0.00","0.0",,"29","38","20"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-09","0.00","0.0",,"39","48","29"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-10","0.62","0.0",,"45","50","39"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-11","0.01","0.0",,"42","50","34"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-12","0.00","0.0",,"37","44","29"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-13","0.02","0.5","0.0","27","36","17"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-14","0.00","0.0","0.0","18","23","12"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-15","0.00","0.0",,"21","30","12"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-16","0.00","0.0",,"33","48","18"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-17","0.00","0.0",,"12","18","5"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-18","0.00","0.0",,"13","21","4"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-19","0.00","0.0",,"21","31","10"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-20","0.15","1.5",,"24","28","20"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-21","0.00","0.0",,"15","21","8"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-22","0.00","0.1","2.0","14","19","8"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-23","0.00","0.0","1.0","21","25","17"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-24","0.00","0.0","1.0","30","37","22"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-25","1.20","10.0",,"28","31","24"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-26","0.00","0.0",,,"28","17"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-27","0.00","0.0",,,"18","9"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-28","0.00","0.0","9.0",,"19","8"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-29","0.00","0.0",,"20","32","8"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-30","0.69","5.7",,"16","30","2"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-01-31","0.03","0.3","14.0","27","31","22"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-01","0.00","0.0","14.0","23","33","13"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-02","0.00","0.0","12.0","19","29","9"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-03","0.09","1.6","12.0","17","26","7"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-04","0.00","0.0","15.0","23","31","14"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-05","0.00","0.0","15.0","27","32","21"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-06","0.00","0.0","14.0","27","34","19"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-07","0.00","0.0","13.0","30","39","20"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-08","0.00","0.0","12.0","19","29","9"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-09","0.00","0.0","12.0","21","39","2"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-10","0.00","0.0",,"31","45","16"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-11","0.05","0.0",,"36","45","27"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-12","0.00","0.0",,"22","30","13"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-13","0.21","0.0",,"22","33","10"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-14","0.50","0.0",,"37","41","32"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-15","0.00","0.0",,"30","37","23"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-16","0.00","0.0",,"35","47","22"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-17","0.00","0.0",,"29","35","23"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-18","0.40","3.9","4.0","28","30","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-19","0.09","0.0","8.0","31","34","27"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-20","0.00","0.0","7.0","32","36","27"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-21","0.00","0.0","7.0","30","38","21"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-22","0.00","0.0",,"34","50","18"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-23","0.00","0.0",,"39","52","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-24","0.00","0.0",,"46","61","30"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-25","0.01","0.0",,"45","55","35"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-26","0.00","0.0",,"41","44","37"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-27","0.33","0.0",,"48","57","38"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-28","0.21","0.0",,"46","53","38"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-02-29","0.00","0.0",,"44","55","32"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-01","0.00","0.0",,"40","54","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-02","0.01","0.0",,"41","47","34"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-03","0.00","0.0","0.0","41","49","33"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-04","0.00","0.0",,"39","52","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-05","0.00","0.0",,"45","58","32"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-06","0.00","0.0",,"42","55","28"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-07","0.00","0.0",,"47","67","27"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-08","0.00","0.0",,"61","79","43"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","2000-03-09","0.07","0.0",,"54","70","38"
