"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-01-30","0.00","0.0","0.0",,"24","4"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-01-31","0.00","0.0","0.0",,"34","9"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-01","0.00","0.0","0.0",,"50","18"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-02","0.06","0.0","0.0",,"52","33"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-03","0.20","0.0","0.0",,"45","32"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-04","1.24","0.0","0.0",,"47","41"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-05","0.00","0.0","0.0",,"48","34"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-06","0.00","0.0","0.0",,"42","30"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-07","0.00","0.0","0.0",,"37","24"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-08","0.00","0.0","0.0",,"45","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-09","0.00","0.0","0.0",,"43","31"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-10","0.00","0.0","0.0",,"43","29"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-11","0.19","0.0","0.0",,"48","31"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-12","0.00","0.0","0.0",,"38","25"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-13","0.00","0.0","0.0",,"32","16"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-14","0.00","0.0","0.0",,"36","13"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-15","0.00","0.0","0.0",,"45","16"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-16","0.35","1.5","0.0",,"35","23"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-17","0.54","0.0","0.0",,"37","32"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-18","0.00","0.0","0.0",,"39","31"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-19","0.00","0.0","0.0",,"36","26"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-20","0.00","0.0","0.0",,"39","22"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-21","0.03","0.2","0.0",,"40","28"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-22","0.00","0.0","0.0",,"36","23"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-23","0.00","0.0","0.0",,"41","21"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-24","0.00","0.0","0.0",,"39","24"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-25","0.00","0.0","0.0",,"38","24"
"USW00014737","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","40.64985","-75.44771","118.9","1952-02-26","0.00","0.0","0.0",,"43","19"
